tipo,arquivo_local,pagina_origem,caminho_setorial,rotulo,legenda_ia,sha256,bytes
imagem-base,03_tecidos/03_tecido-conjuntivo/05_blood-and-hemopoie/02_hemopoiesis/16_hemopoiesis-16/imagens/base/Or.CV_.Hemo-16.jpg,https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/,Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16,,"Imagem-base educacional de histologia da pagina 'Hemopoiesis', no setor Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16. Descricao original da pagina: Hemopoiesis is the process of blood cell formation. The wide variety of mature blood cells are all derived from a single precursor cell called the hemopoietic stem cell. These stem cells generate two major lineages, myeloid and lymphoid. Cells of the myeloid lineage consist of erythrocytes, granulocytes (composed of neutrophils, eosinophils and basophils), monocytes and megakaryocytes. The lymphoid lineage includes B and T lymphocytes and natural killer cells.. Este arquivo nao contem os marcadores interativos; use as camadas PNG relacionadas para localizar estruturas. Origem: Digital Histology, https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/, acesso em 2026-08-07.",c4933344aaca4f9a72a94301428a56d8e0ac270cccdc37329c92b18da1d1665d,498449
marcador-overlay,03_tecidos/03_tecido-conjuntivo/05_blood-and-hemopoie/02_hemopoiesis/16_hemopoiesis-16/imagens/marcadores/Or.CV_.Hemo-16-1-ping.png,https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/,Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16,Myeloid lineage,"Camada transparente de anotacao da pagina 'Hemopoiesis'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.CV_.Hemo-16.jpg'. Destaca a estrutura ou conceito 'Myeloid lineage' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Hemopoiesis is the process of blood cell formation. The wide variety of mature blood cells are all derived from a single precursor cell called the hemopoietic stem cell. These stem cells generate two major lineages, myeloid and lymphoid. Cells of the myeloid lineage consist of erythrocytes, granulocytes (composed of neutrophils, eosinophils and basophils), monocytes and megakaryocytes. The lymphoid lineage includes B and T lymphocytes and natural killer cells.. Contexto setorial: Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16. Origem: Digital Histology, https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/, acesso em 2026-08-07.",cbf01258c2de0f83dce7b797d1d5b2458221e35effac2067d52537e36947a6ea,14136
marcador-overlay,03_tecidos/03_tecido-conjuntivo/05_blood-and-hemopoie/02_hemopoiesis/16_hemopoiesis-16/imagens/marcadores/Or.CV_.Hemo-16-2-ping.png,https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/,Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16,Lymphoid lineage,"Camada transparente de anotacao da pagina 'Hemopoiesis'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.CV_.Hemo-16.jpg'. Destaca a estrutura ou conceito 'Lymphoid lineage' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Hemopoiesis is the process of blood cell formation. The wide variety of mature blood cells are all derived from a single precursor cell called the hemopoietic stem cell. These stem cells generate two major lineages, myeloid and lymphoid. Cells of the myeloid lineage consist of erythrocytes, granulocytes (composed of neutrophils, eosinophils and basophils), monocytes and megakaryocytes. The lymphoid lineage includes B and T lymphocytes and natural killer cells.. Contexto setorial: Tecidos > Tecido Conjuntivo > Blood and Hemopoiesis > Hemopoiesis > Hemopoiesis 16. Origem: Digital Histology, https://digitalhistology.org/tissues/connective/20436-2/hemopoiesis/hemopoiesis-16/, acesso em 2026-08-07.",89e0426cdfbecb6b46eace14322237ebbc5f21f034d379d3238702326c51184d,14219
imagem-base,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/base/Or.Dig_.Tub_.SmI_.Ov-19.jpg,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,,"Imagem-base educacional de histologia da pagina 'Serosa', no setor Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Descricao original da pagina: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Este arquivo nao contem os marcadores interativos; use as camadas PNG relacionadas para localizar estruturas. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",2df30f5baf9b8b9eb6012cf67e0d1967588a926c58a2fb88052f7d437b719c80,867946
marcador-overlay,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/marcadores/Or.Dig_.Tub_.SmI_.Ov-19-1-ping.png,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,Serosa,"Camada transparente de anotacao da pagina 'Serosa'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.Dig_.Tub_.SmI_.Ov-19.jpg'. Destaca a estrutura ou conceito 'Serosa' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Contexto setorial: Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",ad47d58d097768e68d8ab8554682a88b8c818f4b531f8605e918fadd198d1921,18305
marcador-overlay,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/marcadores/Or.Dig_.Tub_.SmI_.Ov-19-3-ping.png,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,Mesothelium,"Camada transparente de anotacao da pagina 'Serosa'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.Dig_.Tub_.SmI_.Ov-19.jpg'. Destaca a estrutura ou conceito 'Mesothelium' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Contexto setorial: Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",f6c047c11338519dcda4624e5667aed449499f99a3433d8536e1a7662fc668dd,18693
marcador-overlay,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/marcadores/Or.Dig_.Tub_.SmI_.Ov-19-2-ping.png,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,Connective tissue,"Camada transparente de anotacao da pagina 'Serosa'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.Dig_.Tub_.SmI_.Ov-19.jpg'. Destaca a estrutura ou conceito 'Connective tissue' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Contexto setorial: Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",a594a46f393dee89112e2c992ccf2db989c8c235cb5b76c6cf334a6a1a9f288b,20401
marcador-overlay,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/marcadores/Or.Dig_.Tub_.SmI_.Ov-19-4-ping.png,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,Blood vessels,"Camada transparente de anotacao da pagina 'Serosa'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.Dig_.Tub_.SmI_.Ov-19.jpg'. Destaca a estrutura ou conceito 'Blood vessels' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Contexto setorial: Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",4404026a926395aec58b5c48209c0c76efc668534f3657abed7cb53b303cf878,17339
marcador-overlay,04_orgaos-e-sistemas/04_sistema-digestorio/02_tubular-digestive/04_small-intestine/20_small-intestine-19/imagens/marcadores/Or.Dig_.Tub_.SmI_.Ov-19-5-ping.png,https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/,Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19,Muscularis externa,"Camada transparente de anotacao da pagina 'Serosa'. Deve ser sobreposta, sem redimensionamento independente, a 'Or.Dig_.Tub_.SmI_.Ov-19.jpg'. Destaca a estrutura ou conceito 'Muscularis externa' por setas, contornos ou marcadores coloridos (incluindo vermelho quando presente). Explicacao original: Most of the small intestine protrudes into an internal body cavity, the peritoneal cavity, and is therefore, covered by a serosa, consisting of a simple squamous epithelium (mesothelium) and a small amount of connective tissue. This serosa, called visceral peritoneum, produces a lubricating fluid that reduces friction between the organs. A portion of the duodenum is retroperitoneal, covered only on its anterior surface by a serosa. The posterior surface, where it contacts the posterior body wall, has an adventitia only. 800x. Contexto setorial: Órgãos e Sistemas > Sistema Digestório > Tubular Digestive System > Small Intestine > Small intestine 19. Origem: Digital Histology, https://digitalhistology.org/organs-systems/digestive/tubular-digestive-system/small-intestine/small-intestine-19/, acesso em 2026-08-07.",21d58cdadf273eb0cc56177ce69340647802db524118fe5e16b32dfe6650673b,15705
imagem-base,04_orgaos-e-sistemas/09_sistema-reprodutor/02_feminino/02_ovary/01_ovary-1/imagens/base/O.R.F.OV_.01A.jpg,https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/,Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1,,"Imagem-base educacional de histologia da pagina 'Ovary', no setor Órgãos e Sistemas > Sistema Reprodutor > Feminino > Ovary > Ovary 1. Descricao original da pagina: Each ovary is both an exocrine (production of oocytes) and an endocrine (production of estrogen and progesterone) organ. The gland can be divided into an outer cortex and inner medulla. The exterior of the ovary is covered by a serosa with a simple cuboidal epithelium (mesothelium) overlying a band of dense connective tissue, the tunica albuginea. 10x. Este arquivo nao contem os marcadores interativos; use as camadas PNG relacionadas para localizar estruturas. Origem: Digital Histology, https://digitalhistology.org/organs-systems/reproductive/female/ovary/ovary-1/, acesso em 2026-08-07.",17e4275d6dfa0b242235e58f1713648c9d9400b35fe92009c519e4fa69520ac2,1020410
