ordem,html,tipo,titulo,caminho,url_origem,descricao,imagens_base,marcadores,rotulos,uso_no_produto,rota_sugerida
1,01_histologia-basica/01_preparacao-do-teci/01_tissue-preparation/index.html,página de lâmina,Tissue preparation - Overview,Histologia Básica > Preparação do Tecido > Tissue preparation 1,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-1/,The preparation of biological tissues for microscopic study requires a series of steps diagrammed in this image.,1,4,Fixation | Embedding | Sectioning | Staining,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
2,01_histologia-basica/01_preparacao-do-teci/02_tissue-preparation/index.html,página de lâmina,Tissue preparation - Fixatives,Histologia Básica > Preparação do Tecido > Tissue preparation 2,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-2/,The chemical formulas for the most common fixatives are shown in this image.,1,3,Formaldehyde | Glutaraldehyde | Osmium tetroxide,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
3,01_histologia-basica/01_preparacao-do-teci/03_tissue-preparation/index.html,página de lâmina,Sectioning – Light microscopy,Histologia Básica > Preparação do Tecido > Tissue preparation 3,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-3/,"After fixation and embedding, tissues are sectioned. For paraffin-embedded tissue, sectioning is usually performed on a rotary microtome, such as those pictured here. Tissue embedded in paraffin, referred to as the tissue block, is secured in a holder attached to a moveable arm of the microtome. For LM, section thickness is generally between 5 to 20 microns.",1,7,Tissue | Paraffin | Tissue block holder | Knife blade | Handwheel | Section thickness adjustment | Sections,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
4,01_histologia-basica/01_preparacao-do-teci/04_tissue-preparation/index.html,página de lâmina,Sectioning – Electron microscopy,Histologia Básica > Preparação do Tecido > Tissue preparation 4,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-4/,"The sectioning process for electron microscopy is analogous to that for light microscopy. Sectioning is performed on a highly precise rotary microtome called an ultramicrotome, pictured here, which is capable of producing the ultrathin sections, generally 30 to 60 nm thick, required for electron microscopy.",1,10,Inset area | Tissue block | Tissue | Epoxy resin | Tissue block holder | Handwheel | Diamond knife | Sections | Copper grids | Image sources,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
5,01_histologia-basica/01_preparacao-do-teci/05_tissue-preparation/index.html,página de lâmina,Section planes,Histologia Básica > Preparação do Tecido > Tissue preparation 5,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-5/,"Histological sections are two-dimensional slices of a three-dimensional piece of tissue. Thus, in the microscope, the appearance of a tissue and its component structures will depend on the angle of the section plane. This image shows skeletal muscle cells, which are long, uniformly cylindrical structures, sectioned in cross and longitudinal planes. 400x",1,5,Cross sections | Longitudinal sections | Additional section planes | Oblique section | Tangential section,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
6,01_histologia-basica/01_preparacao-do-teci/06_tissue-preparation/index.html,página de lâmina,Staining,Histologia Básica > Preparação do Tecido > Tissue preparation 6,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-6/,"Biological tissues are mostly colorless and lack contrast, as shown in the unstained paraffin section on the upper slide. Stains provide contrast as well as differentiate among diverse tissue components; stains are often used in combination. The stained slide (below) displays how the tissue elements are revealed by the two stains, hematoxylin and eosin.",1,3,Hematoxylin staining | Eosin staining | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
7,01_histologia-basica/01_preparacao-do-teci/07_tissue-preparation/index.html,página de lâmina,Types of stains,Histologia Básica > Preparação do Tecido > Tissue preparation 7,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-7/,"Many different types of stains are routinely used for light and electron microscopy. Stains are grouped into four major categories, conventional, histochemical, enzyme histochemical and immunohistochemical.",1,13,Conventional stains | Light microscopy | Hematoxylin | Eosin | Electron microscopy | Electron dense | Electron lucent | Histochemical stains | Glycogen | Enzyme histochemistry | Enzymatic activity | Immunocytochemistry | Immunofluorescent stain,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
8,01_histologia-basica/01_preparacao-do-teci/08_tissue-preparation/index.html,página de lâmina,Microscopy,Histologia Básica > Preparação do Tecido > Tissue preparation 8,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-8/,"Microscopes allow us to look more closely at objects, seeing beyond what is visible with the naked eye. The two major types, light and electron microscopes, are fundamentally differentiated by the type of illumination they use to produce images. Additionally, they differ in their effective magnification ranges, with a significant overlap that corresponds to most histological applications. The size of structures that can be visualized are indicated across the top of the figure.",1,3,Light microscopy | Electron microscopy | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
9,01_histologia-basica/01_preparacao-do-teci/09_tissue-preparation/index.html,página de lâmina,Magnification and resolution,Histologia Básica > Preparação do Tecido > Tissue preparation 9,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-9/,The final image produced by a microscope entails both magnification and resolution. Magnification refers to the amount of enlargement of the specimen; resolution refers to the ability of a microscope to distinguish closely spaced structures as distinct objects.,1,5,Magnification | Mitochondria | Resolution | Non-resolved structures | Resolved structures,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
10,01_histologia-basica/01_preparacao-do-teci/10_tissue-preparation/index.html,página de lâmina,Light microscopy,Histologia Básica > Preparação do Tecido > Tissue preparation 10,https://digitalhistology.org/histology-basics/tissue-preparation/tissue-10/,"These images show the most commonly used type of light microscope, the compound, bright-field microscope. It is a compound microscope because it uses two lenses to form the final image. The lenses for light microscopy are made of glass. The image on the right shows the illumination pathway through the lenses of the microscope.",1,15,Components | Base | Light source | Stage | Focusing controls | Lenses | Substage condenser | Objective lens | Ocular lens | Optical path | Slide position | Image source,"Converter em página didática com visualizador microscópico, camadas de marcação, dossiê morfofuncional, origem embrionária, correlações clínicas e checkpoint.",/manual-clinico/histologia/preparacao-do-teci/tissue-preparation
